"region","region_jpn","type","country","producer","producer_jpn","vintage","store_price","name","name_jpn","sort_order","general_region","aoc_order"
"Bourgogne","ブルゴーニュ地方","3","1","Dom. Jean François Coche-Dury","ドメーヌ・ジャン・フランソワ・コシュ・デュリ","2008","23800","Bourgogne Chardonnay","ブルゴーニュ・シャルドネ","930","11","700"
"Bourgogne / Chablis","ブルゴーニュ地方 / シャブリ地区","3","1","Dom. Moreau Naudet","ドメーヌ・モロー・ノーデ","2011","12600","Chablis Grand Cru Valmur","シャブリ・グラン・クリュ・ヴァルミュール","931","11","1"
"Bourgogne / Chablis","ブルゴーニュ地方 / シャブリ地区","3","1","Dom. Moreau Naudet","ドメーヌ・モロー・ノーデ","2011","7350","Chablis 1er Cru Montée de Tonnerre","シャブリ・プルミエ・クリュ・モンテ・ド・ゥ・トネール","932","11","1"
"Sud-Ouest","南西地方","5","1","Dom. Herri Mina","ドメーヌ・エリ・ミナ","2011","5950","Irouléguy","イルレギー","933","10","1"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2009","9450","Gevrey-Chambertin","ジュヴレ・シャンベルタン","934","11","203"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2009","11800","Gevrey-Chambertin 1er Cru aux Combottes","ジュヴレ・シャンベルタン・プルミエ・クリュ・オー・コンボット","935","11","204"
"Bourgogne","ブルゴーニュ地方 / コート・ドゥ・ボーヌ地区","3","1","Dom. Jean-Marc Roulot","ドメーヌ・ジャン・マルク・ルーロ","2011","7800","Bourgogne Chardonnay","ブルゴーニュ・シャルドネ","937","11","700"
"Bourgogne / Côte de Beaune","ブルゴーニュ地方 / コート・ドゥ・ボーヌ地区","3","1","Dom. Jean-Marc Roulot","ドメーヌ・ジャン・マルク・ルーロ","2011","15000","Meursault ","ムルソー","938","11","321"
"Bourgogne / Côte de Beaune","ブルゴーニュ地方 / コート・ドゥ・ボーヌ地区","3","1","Dom. Jean-Marc Roulot","ドメーヌ・ジャン・マルク・ルーロ","2011","26250","Meursault 1er Cru","ムルソー・プルミエ・クリュ","939","11","322"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2009","21000","Charmes-Chambertin Grand Cru","シャルム・シャンベルタン・グラン・クリュ","940","11","212"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2009","10500","Morey-Saint-Denis 1er Cru Branchards","モレ・サン・ドニ・プルミエ・クリュ・ブランシャール","941","11","218"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2009","35000","Clos de la Roche Grand Cru","クロ・ド・ラ・ロッシュ・グラン・クリュ","942","11","215"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2009","8400","Chambolle-Musigny ","シャンボール・ミュジニー","943","11","219"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2009","11800","Chambolle-Musigny 1er Cru les Chatelos","シャンボール・ミュジニィ・プルミエ・クリュ・レ・シャテロ","944","11","220"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2009","35000","Bonnes-Mares Grand Cru","ボンヌ・マール・グラン・クリュ","945","11","221"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2010","10500","Gevrey-Chambertin","ジュヴレ・シャンベルタン","946","11","203"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2010","11800","Gevrey-Chambertin 1er Cru aux Combottes","ジュヴレ・シャンベルタン・プルミエ・クリュ・オー・コンボット","947","11","204"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2010","21000","Charmes-Chambertin Grand Cru","シャルム・シャンベルタン・グラン・クリュ","948","11","212"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2010","10500","Morey-Saint-Denis","モレ・サン・ドニ","949","11","217"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2010","12600","Morey-Saint-Denis 1er Cru Branchards","モレ・サン・ドニ・プルミエ・クリュ・ブランシャール","950","11","218"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2010","35000","Clos de la Roche Grand Cru","クロ・ド・ラ・ロッシュ・グラン・クリュ","951","11","215"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2010","8400","Chambolle-Musigny ","シャンボール・ミュジニー","952","11","219"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2010","11800","Chambolle-Musigny 1er Cru les Chatelos","シャンボール・ミュジニィ・プルミエ・クリュ・レ・シャテロ","953","11","220"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Arlaud","ドメーヌ・アルロー","2010","35000","Bonnes-Mares Grand Cru","ボンヌ・マール・グラン・クリュ","954","11","221"
